iter	Passed	Remaining
0	156	156561
1	158	78845
2	159	52933
3	160	39951
4	162	32360
5	163	27147
6	165	23506
7	167	20726
8	168	18559
9	169	16820
10	171	15412
11	172	14220
12	174	13221
13	175	12360
14	177	11627
15	178	10985
16	180	10417
17	181	9890
18	182	9420
19	183	9008
20	185	8631
21	186	8296
22	187	7975
23	188	7685
24	190	7426
25	191	7178
26	192	6945
27	193	6731
28	195	6530
29	196	6342
30	197	6188
31	199	6028
32	200	5876
33	201	5735
34	203	5600
35	204	5486
36	206	5366
37	207	5253
38	208	5149
39	210	5043
40	211	4944
41	212	4854
42	214	4763
43	215	4678
44	216	4598
45	218	4534
46	220	4469
47	221	4400
48	224	4353
49	225	4290
50	227	4225
51	228	4165
52	229	4107
53	231	4047
54	232	3991
55	233	3939
56	235	3888
57	236	3840
58	238	3797
59	239	3751
60	240	3706
61	242	3662
62	243	3617
63	244	3578
64	246	3540
65	247	3502
66	249	3481
67	251	3446
68	252	3409
69	254	3376
70	255	3341
71	256	3307
72	258	3276
73	259	3243
74	260	3213
75	261	3183
76	263	3154
77	264	3125
78	265	3098
79	267	3070
80	268	3042
81	269	3015
82	270	2983
83	272	2971
84	273	2948
85	275	2926
86	276	2902
87	277	2879
88	279	2858
89	280	2837
90	281	2815
91	283	2794
92	284	2774
93	286	2756
94	287	2740
95	289	2726
96	290	2708
97	292	2691
98	294	2679
99	296	2664
100	297	2645
101	298	2630
102	300	2613
103	301	2596
104	302	2580
105	303	2562
106	305	2550
107	307	2536
108	308	2519
109	309	2504
110	310	2489
111	312	2475
112	313	2461
113	314	2447
114	316	2433
115	317	2418
116	318	2405
117	319	2391
118	321	2377
119	322	2363
120	323	2352
121	324	2338
122	326	2326
123	327	2316
124	329	2305
125	330	2294
126	331	2281
127	333	2270
128	334	2260
129	336	2249
130	337	2238
131	339	2229
132	340	2218
133	342	2215
134	344	2205
135	345	2197
136	347	2187
137	348	2178
138	349	2167
139	351	2157
140	352	2146
141	353	2136
142	355	2131
143	357	2122
144	358	2113
145	359	2103
146	360	2093
147	362	2084
148	363	2075
149	364	2066
150	365	2057
151	367	2048
152	368	2041
153	370	2034
154	371	2026
155	372	2018
156	374	2010
157	375	2002
158	376	1993
159	378	1986
160	379	1975
161	380	1968
162	381	1960
163	383	1954
164	385	1949
165	386	1942
166	387	1934
167	388	1926
168	390	1919
169	391	1912
170	392	1904
171	394	1897
172	395	1890
173	396	1882
174	398	1876
175	399	1870
176	400	1864
177	402	1857
178	403	1850
179	404	1844
180	406	1837
181	407	1830
182	408	1824
183	409	1817
184	411	1812
185	413	1808
186	416	1809
187	417	1803
188	419	1799
189	420	1793
190	421	1786
191	422	1779
192	424	1773
193	425	1767
194	426	1761
195	428	1758
196	429	1752
197	431	1746
198	432	1742
199	434	1737
200	437	1737
201	438	1733
202	440	1728
203	441	1723
204	443	1719
205	444	1714
206	446	1709
207	447	1704
208	449	1700
209	450	1694
210	451	1689
211	453	1684
212	454	1679
213	456	1675
214	458	1672
215	459	1668
216	461	1664
217	462	1659
218	463	1654
219	465	1649
220	466	1644
221	467	1639
222	469	1634
223	470	1629
224	472	1626
225	473	1621
226	475	1618
227	476	1614
228	478	1609
229	479	1605
230	481	1601
231	482	1597
232	484	1593
233	485	1590
234	487	1586
235	488	1582
236	490	1578
237	491	1574
238	493	1571
239	494	1566
240	496	1562
241	497	1558
242	498	1553
243	499	1549
244	501	1545
245	503	1542
246	504	1538
247	505	1533
248	507	1529
249	508	1524
250	509	1520
251	510	1515
252	511	1510
253	513	1506
254	514	1502
255	515	1498
256	517	1496
257	519	1493
258	520	1489
259	521	1485
260	523	1481
261	524	1477
262	525	1473
263	526	1469
264	528	1465
265	529	1460
266	530	1456
267	531	1452
268	533	1449
269	534	1445
270	535	1441
271	537	1437
272	538	1433
273	539	1428
274	540	1425
275	541	1421
276	543	1417
277	544	1414
278	545	1410
279	547	1407
280	548	1403
281	549	1400
282	551	1396
283	552	1392
284	553	1388
285	554	1385
286	556	1381
287	557	1377
288	558	1373
289	559	1369
290	560	1366
291	562	1362
292	563	1359
293	564	1356
294	566	1353
295	567	1349
296	568	1345
297	570	1342
298	571	1339
299	572	1335
300	573	1331
301	574	1328
302	575	1324
303	577	1321
304	578	1317
305	579	1314
306	580	1311
307	582	1307
308	583	1304
309	584	1301
310	585	1297
311	586	1293
312	587	1290
313	588	1286
314	590	1283
315	591	1279
316	592	1276
317	593	1273
318	595	1270
319	596	1267
320	597	1263
321	598	1260
322	599	1257
323	601	1254
324	602	1251
325	603	1248
326	604	1245
327	606	1241
328	607	1239
329	608	1236
330	610	1233
331	611	1229
332	612	1226
333	613	1223
334	615	1220
335	616	1217
336	617	1215
337	618	1211
338	619	1208
339	621	1205
340	622	1202
341	623	1199
342	624	1196
343	626	1193
344	627	1190
345	628	1187
346	629	1184
347	630	1181
348	631	1178
349	632	1175
350	633	1172
351	635	1168
352	636	1166
353	637	1163
354	639	1161
355	640	1158
356	641	1155
357	642	1153
358	644	1150
359	645	1147
360	646	1144
361	648	1142
362	649	1139
363	650	1137
364	652	1134
365	653	1132
366	655	1130
367	656	1127
368	657	1124
369	658	1121
370	660	1119
371	661	1116
372	662	1114
373	664	1111
374	665	1108
375	667	1107
376	668	1104
377	669	1102
378	671	1099
379	672	1096
380	673	1093
381	674	1091
382	675	1088
383	676	1085
384	677	1082
385	678	1079
386	679	1076
387	680	1073
388	682	1071
389	683	1068
390	684	1066
391	685	1063
392	686	1060
393	687	1057
394	688	1055
395	689	1052
396	690	1049
397	691	1046
398	692	1043
399	694	1041
400	695	1038
401	696	1036
402	698	1034
403	699	1031
404	700	1029
405	701	1026
406	702	1024
407	703	1021
408	705	1018
409	706	1016
410	707	1013
411	708	1010
412	709	1008
413	711	1006
414	712	1004
415	713	1001
416	714	999
417	715	996
418	716	994
419	718	991
420	719	989
421	720	987
422	721	984
423	723	982
424	724	979
425	725	977
426	726	975
427	728	972
428	729	971
429	730	968
430	731	966
431	733	963
